1,57,,46246,1474,,91870,32
2,75,,83355,1323,,27042,169
3,7,,75807,1252,,91983,12
4,166,,15792,1237,,192,283
5,248,,38223,1208,,69684,133
6,38,,70116,1159,,87113,399
7,3,,76272,1143,,79883,13
8,3,,70086,1141,,77734,37
9,3,,69667,1130,,87144,84
10,8,,69322,1123,,50538,14
11,40,,61392,1120,,42438,111
12,42,,60597,1115,,29132,313
13,125,,90143,1113,,67686,143
14,27,,78593,1104,,33032,38
15,13,,43834,1086,,14557,311
16,191,,81210,1085,,76325,33
17,351,,55684,1083,,38018,73
18,10,,14994,1077,,33034,28
19,6,,78912,1077,,60845,57
20,172,,59883,1076,,19582,11
21,731,,60143,1076,,63145,8
22,389,,74530,1076,,71550,4
23,215,,59978,1075,,15802,1009
24,264,,51569,1073,,11989,38
25,82,,78966,1065,,41154,381
26,318,,56130,1064,,38760,5
27,156,,59530,1064,,74276,62
28,34,,28470,1063,,83403,13
29,11,,89724,1063,,57060,152
30,255,,61616,1061,,36566,63
31,288,,42550,1054,,66285,1
32,36,,51519,1054,,64635,4
33,34,,70607,1054,,9902,101
34,8,,53844,1053,,89205,43
35,5,,75432,1053,,96030,89
36,74,,50822,1052,,23450,145
37,353,,19309,1051,,55682,105
38,25,,56651,1048,,79012,98
39,19,,57698,1048,,11285,103
40,317,,32028,1044,,54295,5
41,8,,56344,1044,,53460,1011
42,42,,78370,1044,,32186,17
43,16,,74026,1043,,98245,2
44,5,,17725,1042,,33998,4
45,47,,24347,1042,,33346,32
46,15,,14878,1040,,24878,50
47,69,,58826,1040,,93522,19
48,387,,74529,1040,,70174,29
49,77,,78972,1040,,47306,1
50,4,,44966,1039,,41686,59
51,6,,,,,,
52,161,,,,,,
53,5,,,,,,
54,24,,,,,,
55,125,,,,,,
56,168,,,,,,
57,406,,,,,,
58,228,,,,,,
59,73,,,,,,
60,19,,,,,,
61,19,,,,,,
62,178,,,,,,
63,376,,,,,,
64,5,,,,,,
65,1,,,,,,
66,26,,,,,,
67,27,,,,,,
68,36,,,,,,
69,163,,,,,,
70,19,,,,,,
71,34,,,,,,
72,76,,,,,,
73,93,,,,,,
74,3,,,,,,
75,7,,,,,,
76,104,,,,,,
77,2,,,,,,
78,45,,,,,,
79,35,,,,,,
80,112,,,,,,
81,94,,,,,,
82,14,,,,,,
83,12,,,,,,
84,41,,,,,,
85,161,,,,,,
86,45,,,,,,
87,132,,,,,,
88,7,,,,,,
89,202,,,,,,
90,63,,,,,,
91,28,,,,,,
92,57,,,,,,
93,176,,,,,,
94,341,,,,,,
95,9,,,,,,
96,274,,,,,,
97,245,,,,,,
98,206,,,,,,
99,265,,,,,,
100,74,,,,,,
101,45,,,,,,
102,80,,,,,,
103,33,,,,,,
104,34,,,,,,
105,96,,,,,,
106,24,,,,,,
107,72,,,,,,
108,1,,,,,,
109,392,,,,,,
110,51,,,,,,
111,338,,,,,,
112,13,,,,,,
113,84,,,,,,
114,75,,,,,,
115,50,,,,,,
116,37,,,,,,
117,7,,,,,,
118,25,,,,,,
119,47,,,,,,
120,257,,,,,,
121,11,,,,,,
122,114,,,,,,
123,6,,,,,,
124,37,,,,,,
125,240,,,,,,
126,160,,,,,,
127,136,,,,,,
128,14,,,,,,
129,137,,,,,,
130,245,,,,,,
131,93,,,,,,
132,4,,,,,,
133,1,,,,,,
134,1,,,,,,
135,2,,,,,,
136,1,,,,,,
137,6,,,,,,
138,3,,,,,,
139,393,,,,,,
140,10,,,,,,
141,155,,,,,,
142,45,,,,,,
143,17,,,,,,
144,16,,,,,,
145,8,,,,,,
146,14,,,,,,
147,10,,,,,,
148,17,,,,,,
149,12,,,,,,
150,28,,,,,,
151,10,,,,,,
152,5,,,,,,
153,8,,,,,,
154,120,,,,,,
155,28,,,,,,
156,14,,,,,,
157,47,,,,,,
158,9,,,,,,
159,3,,,,,,
160,19,,,,,,
161,7,,,,,,
162,42,,,,,,
163,40,,,,,,
164,253,,,,,,
165,303,,,,,,
166,48,,,,,,
167,44,,,,,,
168,215,,,,,,
169,62,,,,,,
170,30,,,,,,
171,12,,,,,,
172,28,,,,,,
173,4,,,,,,
174,48,,,,,,
175,1,,,,,,
176,33,,,,,,
177,7,,,,,,
178,2,,,,,,
179,20,,,,,,
180,10,,,,,,
181,2,,,,,,
182,127,,,,,,
183,55,,,,,,
184,457,,,,,,
185,38,,,,,,
186,64,,,,,,
187,29,,,,,,
188,40,,,,,,
189,14,,,,,,
190,934,,,,,,
191,61,,,,,,
192,283,,,,,,
193,32,,,,,,
194,19,,,,,,
195,394,,,,,,
196,12,,,,,,
197,413,,,,,,
198,385,,,,,,
199,179,,,,,,
200,12,,,,,,
201,26,,,,,,
202,17,,,,,,
203,199,,,,,,
204,109,,,,,,
205,221,,,,,,
206,196,,,,,,
207,16,,,,,,
208,379,,,,,,
209,42,,,,,,
210,54,,,,,,
211,23,,,,,,
212,15,,,,,,
213,26,,,,,,
214,6,,,,,,
215,166,,,,,,
216,142,,,,,,
217,376,,,,,,
218,19,,,,,,
219,23,,,,,,
220,63,,,,,,
221,29,,,,,,
222,473,,,,,,
223,153,,,,,,
224,205,,,,,,
225,23,,,,,,
226,177,,,,,,
227,226,,,,,,
228,35,,,,,,
229,12,,,,,,
230,7,,,,,,
231,61,,,,,,
232,2,,,,,,
233,13,,,,,,
234,118,,,,,,
235,42,,,,,,
236,47,,,,,,
237,38,,,,,,
238,98,,,,,,
239,378,,,,,,
240,149,,,,,,
241,51,,,,,,
242,115,,,,,,
243,104,,,,,,
244,11,,,,,,
